date,description,merchant,category,amount
2026-07-01,Monthly rent,RentCo,Housing,1800.00
2026-07-02,Grocery run,Whole Foods,Groceries,86.42
2026-07-03,Commute refill,Shell,Transport,42.15
2026-07-05,Dinner out,Sushi Place,Dining,64.80
2026-07-08,Streaming subscription,Netflix,Subscriptions,15.99
2026-07-10,Electric bill,City Power,Utilities,121.34
2026-07-12,Coffee shop,Blue Bottle,Coffee,9.75
2026-07-14,Pharmacy,CVS,Health,28.40
2026-07-18,Movie night,AMC,Entertainment,24.00
2026-07-22,Online shopping,Amazon,Shopping,132.67
